month,mean_demand,std_demand,p5_demand,p25_demand,p50_demand,p75_demand,p95_demand,mean_uptake_rate
1,15516.296443823387,206.24018424642227,15167.73798390195,15375.082317100132,15515.771582714326,15660.811529349952,15859.977157273279,0.5172098814607798
2,14046.14475340346,220.84159237505426,13677.690413677656,13895.50061171093,14053.318928013112,14193.060705910037,14396.473498088959,0.46820482511344896
3,14781.35642791092,252.3746077308085,14372.673717217054,14601.513327424273,14778.548549764424,14949.01849961896,15214.278049784132,0.49271188093036333
4,14776.361517573312,256.56396892118147,14346.681751626273,14581.508760585184,14788.164703009388,14950.7647860202,15197.340881356546,0.4925453839191103
5,14048.27517752275,270.5783294552077,13604.607902781345,13848.905368257452,14039.3335300344,14233.906456164666,14487.657817234702,0.4682758392507585
6,13311.542904081723,265.74398132587305,12905.123004984465,13111.352732855701,13293.602238968218,13493.460524739226,13775.77816681158,0.44371809680272434
7,13304.303895272149,268.6267314527959,12879.695306954929,13113.426756229048,13288.896138277538,13491.708186904534,13759.008347328388,0.443476796509071
8,14035.333701971856,285.9865795977215,13574.651516223561,13822.946493967976,14044.468899679863,14233.36197751565,14511.247430904756,0.46784445673239483
9,14773.975464861807,306.60387711450187,14281.987373011194,14570.009066097798,14779.665747958486,14965.544426418863,15282.20777592675,0.49246584882872735
10,15525.805140987237,317.7706056427163,15008.81157295532,15307.30957315806,15519.675276826732,15738.302145418504,16041.513301062514,0.5175268380329081
11,16269.341521905124,344.3158211670702,15740.863945762063,16026.22388396611,16257.225795914495,16488.329090992636,16855.361633884364,0.542311384063504
12,17017.98346992359,374.50445993564705,16422.347802704193,16750.409760767077,16983.486539716447,17267.015784992363,17656.842576440034,0.5672661156641184
